[2024-11-10 17:22:58,596: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-10 17:22:58,854: INFO: main: >>>>>> stage  Prepare base model completed <<<<<<<

x===========x]
[2024-11-10 17:22:58,854: INFO: main: *********************]
[2024-11-10 17:22:58,854: INFO: main: >>>>>> stage  Training started <<<<<<<]
[2024-11-10 17:22:58,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:22:58,858: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:22:58,859: INFO: common: created directory at: artifacts]
[2024-11-10 17:22:58,859: INFO: common: created directory at: artifacts\training]
[2024-11-10 17:22:59,328: ERROR: main: [WinError 3] The system cannot find the path specified: 'artifacts\\data_ingestion\\kidney-ct-scan-image']
Traceback (most recent call last):
  File "main.py", line 39, in <module>
    model_trainer.main()
  File "e:\progs\kidney_disease_classification_dl\src\cnnClassifier\pipeline\stage_03_model_training.py", line 20, in main
    training.train_valid_generator()
  File "e:\progs\kidney_disease_classification_dl\src\cnnClassifier\components\model_training.py", line 36, in train_valid_generator
    self.valid_generator = valid_datagenerator.flow_from_directory(
  File "C:\Users\arnab\.conda\envs\kidney\lib\site-packages\keras\src\preprocessing\image.py", line 1648, in flow_from_directory
    return DirectoryIterator(
  File "C:\Users\arnab\.conda\envs\kidney\lib\site-packages\keras\src\preprocessing\image.py", line 563, in __init__
    for subdir in sorted(os.listdir(directory)):
FileNotFoundError: [WinError 3] The system cannot find the path specified: 'artifacts\\data_ingestion\\kidney-ct-scan-image'
[2024-11-10 17:24:22,081: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-11-10 17:24:22,084: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:24:22,085: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:24:22,086: INFO: common: created directory at: artifacts]
[2024-11-10 17:24:22,086: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-10 17:24:22,086: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:24:28,516: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:24:28,699: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x===========x]
[2024-11-10 17:24:28,699: INFO: main: *********************]
